71, Self-emp-not-inc, 116815, 11th, 7, Divorced, ?, Husband, White, Female, 2174, 0, 23, United-States, <=50K
58, Self-emp-not-inc, 27864, Bachelors, 13, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 8, Mexico, <=50K
29, Self-emp-not-inc, 174220, Masters, 14, Married-civ-spouse, Tech-support, Not-in-family, Black, Female, 0, 1902, 15, ?, <=50K
49, Local-gov, 35598, Masters, 14, Never-married, Tech-support, Own-child, White, Female, 0, 1902, 13, United-States, <=50K
75, Private, 266408, Bachelors, 13, Married-civ-spouse, ?, Own-child, White, Male, 5013, 0, 39, Mexico, >50K
78, ?, 81861, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Female, 0, 1902, 67, United-States, <=50K
63, Self-emp-not-inc, 239797, HS-grad, 9, Divorced, ?, Not-in-family, Black, Female, 2174, 0, 5, Mexico, <=50K
42, Private, 42076, Masters, 14, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 42, Mexico, >50K
54, Self-emp-not-inc, 28131, Bachelors, 13, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male, 2174, 0, 66, ?, >50K
26, Local-gov, 139738, HS-grad, 9, Divorced, Craft-repair, Husband, White, Female, 5013, 0, 54, Mexico, <=50K
23, Private, 288622, Bachelors, 13, Married-civ-spouse, Craft-repair, Own-child, Black, Female, 2174, 1902, 42, ?, >50K
47, Private, 166915, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1902, 62, United-States, >50K
40, Self-emp-not-inc, 68335, Bachelors, 13, Married-civ-spouse, Craft-repair, Own-child, Black, Male, 5013, 0, 9, United-States, >50K
78, Private, 31145, 11th, 7, Divorced, Tech-support, Own-child, White, Female, 0, 0, 22, United-States, <=50K
64, Private, 87918, Bachelors, 13, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 2174, 0, 58, United-States, <=50K
41, ?, 26525, 11th, 7, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 58, ?, <=50K
61, ?, 250960, Masters, 14, Married-civ-spouse, Tech-support, Not-in-family, Black, Female, 5013, 0, 66, United-States, <=50K
56, ?, 154128, HS-grad, 9, Never-married, Exec-managerial, Wife, White, Male, 5013, 0, 26, Mexico, <=50K
37, ?, 151386, 11th, 7, Never-married, ?, Husband, White, Female, 2174, 0, 45, United-States, <=50K
70, Private, 53627, HS-grad, 9, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male, 2174, 0, 32, Mexico, <=50K
62, ?, 187953, 11th, 7, Never-married, Tech-support, Wife, Asian-Pac-Islander, Female, 0, 0, 50, Mexico, <=50K
29, Private, 159676, Bachelors, 13, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 0, 1902, 18, ?, <=50K
29, ?, 154239, Masters, 14, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male, 0, 0, 33, Mexico, <=50K
67, Self-emp-not-inc, 65722, Masters, 14, Married-civ-spouse, ?, Husband, Black, Male, 2174, 0, 5, Mexico, <=50K
30, Private, 84741, Masters, 14, Never-married, Craft-repair, Own-child, White, Female, 0, 0, 38, ?, <=50K
19, ?, 199334, Bachelors, 13, Divorced, ?, Wife, Black, Female, 0, 0, 13, Mexico, <=50K
60, Self-emp-not-inc, 266710, Bachelors, 13, Never-married, ?, Own-child, Asian-Pac-Islander, Male, 0, 0, 61, ?, <=50K
70, Local-gov, 183419, Masters, 14, Divorced, ?, Husband, Black, Male, 0, 0, 68, United-States, <=50K
55, ?, 34551, 11th, 7, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Male, 5013, 0, 67, United-States, <=50K
